RM Desk,RM Code,External Asset Manager Code,BP Code,BP ISO currency,Container code,Container ISO currency,Asset ID,ISIN,Asset Name,Asset Type,Asset ISO Currency,Bloomberg Ticker,S&P Rating,Asset Country,Asset Industry,Asset Economical Sector,Contract Code,Buy Currency,Sell Currency,FX Contract Operation Type,Postions ID,Position type,Position ISO Currency,Current Account Code,Last booking date,Reference date,Asset Price Date,Maturity date,FX rate container CCY,FX rate BP CCY,FX rate BU CCY,Asset Rate,Average Cost Price,Average Cost Price in container currency,Price,Quantity,Cost amount,Annual coupons amount,P/L in %,Weight,Accrued Interests in position currency,Valuation in position currency,Accrued Interests in container currency,Valuation in container currency,Accrued Interests in BP currency,Valuation in BP currency,Accrued Interests in BU currency,Valuation in BU currency,Total Accrued Interests in container currency,AUM net without accrued interests in container currency,AUM net in container currency,AUM net in BU currency,Quotation Type,Strike Price
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,6845330,VGG5532C1288,Uts LL Assets Uts -D- EUR (25212400),Fund - Other,EUR,,,Virgin Islands  British,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,7349829,Security,EUR,,,03.04.2023,01.01.2023,,1,1,0.994362192,0,460.8761989,460.88,15.197,661.779,304998.19,0,-0.010182619,0.005728657,0,10057.06,0,10057.06,0,10057.06,0,10000.36,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,6825954,ES0105200002,Shs Abengoa SA EUR 0.0002 (19739492),Share - Bearer,EUR,ABG SM Equity,,Spain,Construction & Engineering                             ,Building materials & building industry (TKBN-29),,,,,11216666,Security,EUR,,,03.04.2023,03.04.2023,,1,1,0.994362192,0,0,0,0.005,88144,0,0,0,0.000251041,0,440.72,0,440.72,0,440.72,0,438.24,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1611603,EUR,1611603.1,EUR,12051419,LU1901202280,Uts Dharma DR Eq Uts -A- Cap (44433675),Fund - Equity,EUR,,,Luxembourg,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,12099274,Security,EUR,,,03.04.2023,31.03.2023,,1,1,0.994362192,0,100.7,100.7,144.5,4800,483360,0,0.311540926,0.250114447,0,693600,0,693600,0,693600,0,689689.61,-1.35,2773130.49,2773129.14,2757494.78,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,9321344,LU1693257310,Uts ESL Dir Len Uts -A- Cap (38647309),Fund - Bond,EUR,ESLDILA LX Equity,,Luxembourg,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,9321654,Security,EUR,,,03.04.2023,28.02.2023,,1,1,0.994362192,0,104.462584,104.46,125.15,1207.37,126124.99,0,0.049280132,0.08607025,0,151102.36,0,151102.36,0,151102.36,0,150250.47,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,12051419,LU1901202280,Uts Dharma DR Eq Uts -A- Cap (44433675),Fund - Equity,EUR,,,Luxembourg,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,12099275,Security,EUR,,,03.04.2023,31.03.2023,,1,1,0.994362192,0,103.1940636,103.19,144.5,6000.945,619261.9,0,0.997440414,0.314245803,0,867136.55,0,867136.55,0,867136.55,0,862247.8,0,2759421.26,2759421.26,2743864.17,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,6845042,VGG5532C1361,Uts LL Assets Uts -F- EUR (25229681),Fund - Other,EUR,,,Virgin Islands  British,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,7349648,Security,EUR,,,03.04.2023,31.12.2022,,1,1,0.994362192,0,711.3142109,711.31,47.899,168.702,120000.13,0,0,0.004602869,0,8080.66,0,8080.66,0,8080.66,0,8035.1,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,6839006,LU0646914142,Uts Arc EI ESG Sel Uts -Ba- Cap (13281365),Fund - Bond,EUR,AREIIBA LX Equity,,Luxembourg,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,7349932,Security,EUR,,,03.04.2023,30.03.2023,,1,1,0.994362192,0,134.93,134.93,154.51,451,60853.43,0,0.09284149,0.039693094,0,69684.01,0,69684.01,0,69684.01,0,69291.14,0,1755570.14,1755570.14,1745672.54,Price per Piece,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,15240358,CH0478634105,Reg Shs AEVIS VICTORIA SA CHF 1 (47863410),Share - Registered,CHF,AEVS SW Equity,,Switzerland,Health Care Facilities                                 ,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFI Geneva,6862481,6931119,1612195,EUR,1612195.1,EUR,6846120,DE000A0S9GB0,ETC Dt Boerse Comm 2007-o.f. Verfall auf Gold (3624607),Hybrid,EUR,,,Germany,,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFI Geneva,6862481,6931119,1521105,EUR,1521105.1,EUR,7249471,,Credit card guarantee CHF,Guarantee - Call,CHF,,,,,,230647,,,,7249492,Contract,CHF,,,03.04.2023,,,1.005669775,1.005669773,1,0,0,0,0,-20000,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,80802.48,80802.47,80346.92,,
GFI Geneva,6862481,6931119,1600220,EUR,1600220.1,EUR,6844696,VGG7238P1146,Uts Prima Cap Fd Red.Pref.Uts -D- EUR (1865947),Fund - Other,EUR,PRMCAPD VI Equity,,Virgin Islands  British,,Investment trusts/funds & provisioning inst. (TKBN-19),,,,,18540243,Security,EUR,,,03.04.2023,24.03.2023,,1,1,0.994362192,0,356.3193616,356.32,308.53,199.498,71085,0,0.026302346,0.035060473,0,61551.12,0,61551.12,0,61551.12,0,61204.1,0,1755570.14,1755570.14,1745672.54,Price per Piece,
