Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,13.16206289,16.64237792,0,0,2.21021613,0.594990373,6.035932141,0.744623435,39.39020289,,,,,,,,,,,,,,,,,
,EUR,6.319084701,-18.74630814,0,31.23650501,24.14417512,1.20811356,3.690928199,3.596349831,51.44884828,,,,,,,,,,,,,,,,,
,USD,1.363703282,2.042868981,1.131590121,,0.019113972,2.356749989,1.264292336,0.730461718,8.908780399,,,,,,,,,,,,,,,,,
,CAD,0.002005511,,,,0.250162918,,,,0.252168429,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,20.84685639,-0.061061243,1.131590121,31.23650501,26.62366814,4.159853922,10.99115267,5.071434984,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 48'418'238 CHF Positions non soldées - Segment Total (219),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
Avoirs en compte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Avoirs en compte,0,,,54617000,482051.08,0.995598143,COMPTE ORDINAIRE EN CHF,CHF,100,521055.0323,542378.08,482051.08,482051.08,,,,454582.2658,-2144.57,0,-0.411565376,-0.004451067,0,-0.271854672,-0.00445107,48.23362271
,Comptabilisé,Avoirs en compte,0,,,54570000,2666634.59,5.507500253,COMPTE ORDINAIRE EN CHF,CHF,100,2790338.693,2979842.29,2666634.59,2666634.59,,,,2514681.212,-8844.29,5.00E-10,-0.314551473,-0.018356375,0,-0.329891828,-0.01835637,35.56354237
,Comptabilisé,Avoirs en compte,0,,,534552A0,337300,0.696638318,COMPTE ORDINAIRE EN CHF,CHF,100,17196.875,20000,337300,337300,,,,318079.5659,-1510.049067,-1510.049067,-9.462535352,-0.003134116,0,-0.883294109,-0.00313412,5.164298867
,Comptabilisé,Avoirs en compte,0,,,532338B0,2864.71,0.005916593,COMPTE ORDINAIRE EN CHF,CHF,100,2864.71,2864.71,2864.71,2864.71,,,,2701.469651,0,0,0,0,0,0,0,1.75390377
,Comptabilisé,Avoirs en compte,0,,,532338A0,1879.07,0.003880914,COMPTE ORDINAIRE EN CHF,CHF,100,2162.982031,2600.94,1879.07,1879.07,,,,1771.994574,-1.2246724,-1.2246724,-0.056299251,-2.54E-06,0,-0.056602495,-2.54E-06,0.736748423
,Comptabilisé,Avoirs en compte,0,,,53233800,2100.36,0.004337952,COMPTE ORDINAIRE EN CHF,CHF,100,4432.111875,7156.42,2100.36,2100.36,,,,1980.674761,13.3210307,13.3210307,0.292002561,2.76E-05,0,0.350853709,2.77E-05,0.395496054
,Comptabilisé,Avoirs en compte,0,,,53233700,23754.14,0.049060315,COMPTE ORDINAIRE EN CHF,CHF,100,431355.117,15375.33,23754.14,23754.14,,,,22400.55304,-14818.66,0,-3.078459609,-0.030756214,0,-3.588845469,-0.03075621,100
,Comptabilisé,Avoirs en compte,0,,,532336B0,200,0.000413067,COMPTE ORDINAIRE EN CHF,CHF,100,240.625,0,200,200,,,,188.6033595,-50.5525921,-50.5525921,-15.5816502,-0.000104922,0,-0.558558076,-0.00010492,0.147096308
,Comptabilisé,Avoirs en compte,0,,,532336A0,11810.24,0.024392131,COMPTE ORDINAIRE EN CHF,CHF,100,11810.24,11810.24,11810.24,11810.24,,,,11137.25471,0,0,0,0,0,0,0,10.4597079
,Comptabilisé,Avoirs en compte,0,,,53233600,670689.03,1.385199163,COMPTE ORDINAIRE EN CHF,CHF,100,185931.3761,-1558.98,670689.03,670689.03,,,,632471.0213,-5344.48,0,-2.66795388,-0.011092499,0,-2.527079549,-0.0110925,7.583908174
,Transmis,Avoirs en compte,0,,,53233600,46347.06,0.095722318,COMPTE ORDINAIRE EN CHF,CHF,100,724.1728125,0,46347.06,46347.06,,,,43706.0561,,,,,,,,0.524075736
,Comptabilisé,Avoirs en compte,0,,,53182600,2000,0.004130675,COMPTE ORDINAIRE EN CHF,CHF,100,2000,2000,2000,2000,,,,1886.033595,0,0,0,0,0,0,0,0.906516614
,Comptabilisé,Avoirs en compte,0,,,52122600,320.76,0.000662478,COMPTE ORDINAIRE EN CHF,CHF,100,320.76,320.76,320.76,320.76,,,,302.482068,0,0,0,0,0,0,0,0.008579695
,Comptabilisé,Avoirs en compte,0,,,51921000,4550.34,0.009397988,COMPTE ORDINAIRE EN CHF,CHF,100,4550.34,4550.34,4550.34,4550.34,,,,4291.047055,0,0,0,0,0,0,0,0.124293898
,Comptabilisé,Avoirs en compte,0,,,51732900,100461.4,0.207486691,COMPTE ORDINAIRE EN CHF,CHF,100,104883.8381,75623.35,100461.4,100461.4,,,,94736.78772,-1902.04,0,-1.779393589,-0.003947695,0,-1.764802046,-0.00394769,185.6465403
,Transmis,Avoirs en compte,0,,,51732900,-46347.06,-0.095722318,COMPTE ORDINAIRE EN CHF,CHF,100,-724.1728125,0,-46347.06,-46347.06,,,,-43706.0561,,,,,,,,-85.64654027
,Comptabilisé,Avoirs en compte,0,,,46178 A0,-528.56,-0.001091655,COMPTE ORDINAIRE EN CHF,CHF,100,-16.5175,0,-528.56,-528.56,,,,,-0.4037056,-0.4037056,-6.802872328,-8.38E-07,0,-0.076436768,-8.40E-07,-1.727741607
,Comptabilisé,Avoirs en compte,0,,,46178 00,7724.77,0.015954257,COMPTE ORDINAIRE EN CHF,CHF,100,7724.77,7724.77,7724.77,7724.77,,,,7284.587868,0,0,0,0,0,0,0,2.170201278
